,LTime, LSensorID, LAccelX, LAccelY, LAccelZ, LGyroX, LGyroY, LGyroZ,RTime, RSensorID, RAccelX, RAccelY, RAccelZ, RGyroX, RGyroY, RGyroZ
641,2016-05-05 01:02:08 +0000,LC,6292,16520,432,2121,-2813,531,2016-05-05 01:01:42 +0000,RC,-11856,-6356,-9484,2547,-6825,861
642,2016-05-05 01:02:08 +0000,LC,2704,15752,-2072,-750,-114,-1632,2016-05-05 01:01:42 +0000,RC,-16100,-9208,-6528,6280,-1202,4353
643,2016-05-05 01:02:08 +0000,LC,3636,15152,-2832,-243,-156,-1882,2016-05-05 01:01:42 +0000,RC,-13412,-8664,-6172,6139,-5924,4707
644,2016-05-05 01:02:08 +0000,LC,2548,16756,-2188,-754,-1461,1017,2016-05-05 01:01:43 +0000,RC,-13828,-6364,-4992,9624,9174,3424
645,2016-05-05 01:02:08 +0000,LC,2484,16228,-1764,-102,-24,332,2016-05-05 01:01:43 +0000,RC,-13208,-6344,-6996,9333,8470,568
646,2016-05-05 01:02:09 +0000,LC,2808,14748,-1448,-485,-659,1514,2016-05-05 01:01:43 +0000,RC,-13828,-6588,-8348,5218,838,-5170
647,2016-05-05 01:02:09 +0000,LC,3956,16064,-1788,535,-490,-812,2016-05-05 01:01:43 +0000,RC,-13220,-7840,-6100,1041,945,-3334
648,2016-05-05 01:02:09 +0000,LC,2852,16312,-1100,-629,122,578,2016-05-05 01:01:43 +0000,RC,-10336,-10108,-4216,686,663,-2471
649,2016-05-05 01:02:09 +0000,LC,2480,15684,-1024,925,-348,1101,2016-05-05 01:01:43 +0000,RC,-10208,-14064,-4008,4330,2593,-4190
650,2016-05-05 01:02:09 +0000,LC,3820,16036,-2576,2855,-1005,1071,2016-05-05 01:02:08 +0000,RC,1176,15764,-2456,2383,-1478,-210
651,2016-05-05 01:02:09 +0000,LC,3488,15832,-2944,2893,-288,-745,2016-05-05 01:02:08 +0000,RC,2436,16468,-3016,-2838,-4053,-2530
652,2016-05-05 01:02:09 +0000,LC,4720,16108,-4724,2832,-1282,1522,2016-05-05 01:02:08 +0000,RC,-412,14584,-1052,340,-1840,193
653,2016-05-05 01:02:10 +0000,LC,3496,14568,-5660,2531,-809,1409,2016-05-05 01:02:08 +0000,RC,152,17080,-2476,-98,-1032,30
654,2016-05-05 01:02:10 +0000,LC,4372,14688,-5632,2580,167,769,2016-05-05 01:02:08 +0000,RC,304,16232,-3500,-918,-747,-1078
655,2016-05-05 01:02:10 +0000,LC,3752,15152,-6688,2276,285,1465,2016-05-05 01:02:09 +0000,RC,-924,15580,-2852,198,511,421
656,2016-05-05 01:02:10 +0000,LC,5900,19016,-3356,40,154,377,2016-05-05 01:02:09 +0000,RC,1168,16380,-3140,-857,-205,-488
657,2016-05-05 01:02:10 +0000,LC,4024,9944,-25916,-4356,7131,2102,2016-05-05 01:02:09 +0000,RC,364,16168,-2316,185,686,-26
658,2016-05-05 01:02:10 +0000,LC,7104,10424,-11060,-283,628,196,2016-05-05 01:02:09 +0000,RC,588,16016,-1712,1658,1101,8
659,2016-05-05 01:02:10 +0000,LC,4916,14968,-10072,57,-1634,2329,2016-05-05 01:02:09 +0000,RC,1288,16044,-3332,1479,130,-337
660,2016-05-05 01:02:11 +0000,LC,6668,15756,-8940,-736,-734,393,2016-05-05 01:02:09 +0000,RC,-396,15284,-3360,1767,-123,-871
661,2016-05-05 01:02:11 +0000,LC,6740,14144,-6728,1448,-51,-2047,2016-05-05 01:02:09 +0000,RC,460,15260,-5240,1750,-1883,-408
662,2016-05-05 01:02:11 +0000,LC,5700,17976,-6420,1232,-1786,-4298,2016-05-05 01:02:10 +0000,RC,36,15236,-6796,2175,551,-145
663,2016-05-05 01:02:11 +0000,LC,5060,15340,-8260,205,313,-1320,2016-05-05 01:02:10 +0000,RC,-224,14792,-7124,1433,928,-1114
664,2016-05-05 01:02:11 +0000,LC,3484,13564,-7944,1056,-1137,763,2016-05-05 01:02:10 +0000,RC,-2884,-1984,-1300,526,-8041,-1819
665,2016-05-05 01:02:11 +0000,LC,9140,32767,-24392,-4678,3235,-1592,2016-05-05 01:02:10 +0000,RC,2540,13344,-3692,1073,-3528,2036
666,2016-05-05 01:02:12 +0000,LC,7168,17496,-9152,-439,-312,-330,2016-05-05 01:02:10 +0000,RC,-1876,27440,-20840,1788,8472,-435
667,2016-05-05 01:02:12 +0000,LC,2992,12624,-7608,695,-1207,529,2016-05-05 01:02:10 +0000,RC,-1456,17144,-6108,1000,1534,1526
668,2016-05-05 01:02:12 +0000,LC,3708,14416,-9996,3529,-2982,899,2016-05-05 01:02:11 +0000,RC,1764,14684,-10332,1258,1344,3093
669,2016-05-05 01:02:12 +0000,LC,5044,14684,-9256,499,-941,316,2016-05-05 01:02:11 +0000,RC,3044,14892,-6876,856,1697,1789
